source,target
kitchen tools, kitchen utencil
bedside cabinet, cabinet
shoes on shelf, shoes
tv_monitor, tv
kitchen cabinet door, kitchen cabinet
wardrobe door, furniture
curtain rod cover, curtain rod
bookstand, bookshelf
toys, toy
microvawe, microwave
kitchen cabinet drawer, kitchen cabinet
kitchhen cabinet door, kitchen cabinet
kitchen countertop, kitchen counter
pair of shoes, shoes
baby seat, seat
tiled wall, wall
pilllow, pillow
pile of boxes, box
washbasin cabinet, cabinet
warderobe, cabinet
coach, couch
bathtube, bathtub
ceiliing, ceiling
wash basin cabinet, cabinet
track, gym equipment
ceiling/ west wall, ceiling
bath tub, bathtub
violin case, objects
bath, bath tub
staircase handrail, railing
stairs railing, railing
tiled floor, floor
terrace door, door
oven and stove, appliances
laundry machine, appliances
stair step, stairs
shelf/cabinet, cabinet
stairs skirt, stairs
partition, wall
book rack, shelving
counter door, door
fireplace wall, wall
door/window, window
